model,accuracy,precision,recall,f1_score,confusion_matrix,probability_average
Logistic Regression,0.8105039034776437,0.6666666666666666,0.5721925133689839,0.6158273381294964,"[[928, 107], [160, 214]]",0.26600515790731116
Gaussian Naive Bayes,0.730305180979418,0.494949494949495,0.786096256684492,0.6074380165289256,"[[735, 300], [80, 294]]",0.4213988634848552
Decision Tree (gini),0.7310149041873669,0.49403341288782815,0.553475935828877,0.5220680958385876,"[[823, 212], [167, 207]]",0.2978471729358883
Decision Tree (entropy),0.7317246273953159,0.4948186528497409,0.5106951871657754,0.5026315789473684,"[[840, 195], [183, 191]]",0.2751360302815235
